target,name_ja,layer,hard_score,extended_score,confidence_pct,data_coverage_pct,outlook,action,signal_note,n_indicators
qnt_token,Quant Network (QNT トークン),crypto_xrp,,,0.0,0.0,不明,要確認,スコア算出不可(データ不足またはStep2未実行),0
fujikura,フジクラ,ai_datacenter,,98.0,1.0,0.0,中立-強気,保有継続(監視),スコア高(98)・モメンタム不明 → 継続監視,1
murata,村田製作所,ai_datacenter,,,0.0,0.0,不明,要確認,スコア算出不可(データ不足またはStep2未実行),0
lasertec_rorze,ローツェ,semicap,,99.0,1.0,0.0,中立-強気,保有継続(監視),スコア高(99)・モメンタム不明 → 継続監視,1
kioxia,キオクシア,semicap,,,0.0,0.0,不明,要確認,スコア算出不可(データ不足またはStep2未実行),0
harmonic,ハーモニック・ドライブ・システムズ,robotics_fa,,,0.0,0.0,不明,要確認,スコア算出不可(データ不足またはStep2未実行),0
fanuc,ファナック,robotics_fa,,,0.0,0.0,不明,要確認,スコア算出不可(データ不足またはStep2未実行),0
yaskawa,安川電機,robotics_fa,,,0.0,0.0,不明,要確認,スコア算出不可(データ不足またはStep2未実行),0
tesla,Tesla,ev_physical_ai,,,0.0,0.0,不明,要確認,スコア算出不可(データ不足またはStep2未実行),0
spacex,SpaceX,ev_physical_ai,,,0.0,0.0,不明,要確認,スコア算出不可(データ不足またはStep2未実行),0
quantinuum,Quantinuum,quantum,,,0.0,0.0,不明,要確認,スコア算出不可(データ不足またはStep2未実行),0
xrp,XRP,crypto_xrp,57.0,100.0,0.103,0.143,中立(要確認),保有継続,ロック需要ステージ: 需給ショック | スコア高(100)だが信頼度低(10%) → 1段保守化,1
xrp_real_demand,XRP総合実需スコア,crypto_xrp,57.0,57.0,0.55,0.5,,,,2
xrp_lock_demand,XRPロック需要スコア(需給ショック),crypto_xrp,100.0,100.0,0.103,0.143,,,ロック需要スコアは AMM内XRP残高(主代理)・RLUSD供給残高・XRPL TVL の加重合成。Lending/RWAデータは無料取得不可のため confidence は中程度(~69%)。本格化以上の判定には「信頼度: 中／代理ベース」を必ず確認すること。,1
